1,1,2,2,Italian opening - Giuoco pianissimo,Blitz 3|2,1
2,2,1,2,Scandinavian defense,Blitz 3|2,1
3,2,3,2,Sicilian defense - Kalashnikov variation,Blitz 3|2,1
4,3,2,2,Grünfeld defense,Blitz 3|2,1
5,2,3,2,Sicilian defense - Kalashnikov variation,Blitz 3|2,1
6,3,2,2,Grünfeld defense,Blitz 3|2,1
7,1,4,1,Caro-Kann defense,Blitz 3|2,1
8,4,1,4,Bird opening,Blitz 3|2,1
9,1,2,2,Italian opening,Blitz 3|2,2
10,2,1,2,Scandinavian defense,Blitz 3|2,2
11,2,3,2,Queens gambit declined - Ragozin variation,Blitz 3|2,1
12,20,3,3,Sicilian defense - Rossolimo variation,Blitz 3|2,1
13,3,20,3,Four knights game - Spanish variation,Blitz 3|2,1
14,1,21,1,Italian opening,Blitz 3|2,2
15,21,1,1,Scotch game - Mainline,Blitz 3|2,2
16,1,41,41,Italian opening,Blitz 3|2,1
17,41,1,0,Scandinavian defense,Blitz 3|2,1
18,3,34,34,Nimzo-Larsen opening,Blitz 3|2,1
19,3,34,3,Nimzo-Larsen opening,Blitz 3|2,1
20,34,3,34,English opening,Blitz 3|2,1
21,2,9,0,Kings Indian defense,Blitz 3|2,1
22,5,3,3,Sicilian defense - Rossolimo variation,Blitz 3|2,1
23,5,3,3,Sicilian defense - Rossolimo variation,Blitz 3|2,1
24,3,9,3,Reti opening,Blitz 5|3,1
25,1,18,1,Sicilian defense,Blitz 3|2,1
26,18,1,18,Scandinavian defense,Blitz 3|2,1
27,1,18,1,Italian opening,Blitz 5|3,1
28,18,1,18,English opening,Blitz 3|2,1
29,1,18,1,Scotch game,Blitz 3|2,1
30,25,3,25,Sicilian defense - Smith Morra gambit,Blitz 3|2,1
31,5,25,5,Italian opening,Blitz 3|2,2
32,2,20,2,Queens gambit - Semi-slav defense,Blitz 3|2,1
33,20,2,0,Sicilian defense - Rossolimo variation,Blitz 3|2,1
34,20,2,20,Sicilian defense - Najdorf variation,Blitz 3|2,1
35,3,35,3,Nimzo-Larsen opening,Blitz 3|2,1
36,35,3,3,Polish attack,Blitz 3|2,1
37,26,2,26,Sicilian defense - Kalashnikov variation,Blitz 3|2,1
38,47,3,47,Sicilian defense - Rossolimo variation,Blitz 3|2,1
39,47,20,47,Ruy Lopez - Mainline,Blitz 3|2,1
40,3,46,3,Sicilian defense - Alapin variation,Blitz 3|2,1
41,46,3,3,Sicilian defense - Kalashnikov variation,Blitz 3|2,1
42,46,3,3,Sicilian defense - Kalashnikov variation,Blitz 3|2,1
43,46,2,2,Sicilian defense - Kalashnikov variation,Blitz 3|2,1
